creator_address,network_ids,network_count
99i9uVA7Q56bY22ajKKUfTZTgTeP5yCtVGsrG9J4pDYQ,"net_00022,net_00039,net_00043,net_00059,net_00062,net_00072,net_00077,net_00080,net_00085,net_00089,net_00106,net_00110,net_00112,net_00113,net_00118,net_00119,net_00121,net_00126,net_00134,net_00137,net_00152,net_00169,net_00173,net_00184,net_00190,net_00212,net_00232,net_00240,net_00251,net_00262,net_00286,net_00295,net_00297,net_00298,net_00300,net_00302,net_00315,net_00316,net_00319,net_00323,net_00340,net_00344,net_00351,net_00379,net_00381,net_00383,net_00389,net_00395,net_00398,net_00401,net_00402,net_00408,net_00419,net_00445,net_00461,net_00469,net_00505,net_00506,net_00508,net_00511,net_00512,net_00519,net_00527,net_00531,net_00538,net_00541,net_00544,net_00559,net_00575,net_00578,net_00583,net_00584,net_00590,net_00601,net_00614,net_00617,net_00618,net_00622,net_00632,net_00643,net_00655,net_00657,net_00662,net_00672,net_00684,net_00707,net_00708,net_00713,net_00716,net_00741,net_00742,net_00743,net_00753,net_00757,net_00769,net_00774,net_00777,net_00780,net_00782,net_00804,net_00814,net_00817,net_00848,net_00855,net_00865,net_00871,net_00877,net_00881,net_00895,net_00906,net_00925,net_00928,net_00951,net_00952,net_00954,net_00962,net_00963,net_00968,net_00983,net_00986,net_01052,net_01077,net_01079",123
ECU3TzHCrGUhK9Zb524xAhz7pcihPmqzaxAXBLVJjvVm,"net_00031,net_00043,net_00049,net_00057,net_00067,net_00072,net_00074,net_00077,net_00095,net_00110,net_00112,net_00113,net_00122,net_00126,net_00134,net_00152,net_00157,net_00159,net_00168,net_00169,net_00173,net_00184,net_00190,net_00193,net_00210,net_00212,net_00219,net_00229,net_00260,net_00262,net_00271,net_00274,net_00285,net_00295,net_00298,net_00300,net_00315,net_00316,net_00323,net_00331,net_00344,net_00351,net_00365,net_00377,net_00379,net_00381,net_00382,net_00389,net_00401,net_00408,net_00414,net_00430,net_00446,net_00500,net_00505,net_00507,net_00511,net_00512,net_00519,net_00531,net_00538,net_00541,net_00559,net_00571,net_00577,net_00583,net_00601,net_00617,net_00618,net_00622,net_00623,net_00628,net_00633,net_00655,net_00672,net_00700,net_00705,net_00708,net_00710,net_00713,net_00716,net_00718,net_00741,net_00743,net_00753,net_00757,net_00769,net_00774,net_00777,net_00778,net_00782,net_00807,net_00814,net_00817,net_00819,net_00850,net_00855,net_00865,net_00877,net_00881,net_00895,net_00906,net_00920,net_00928,net_00952,net_00954,net_00960,net_00962,net_00980,net_00984,net_01052,net_01053,net_01055,net_01079",114
CfumDPwfYn6m3W6fyzCMhsYkS2Uxpeu1npxZPUasV5nX,"net_00012,net_00013,net_00019,net_00040,net_00047,net_00048,net_00058,net_00065,net_00075,net_00076,net_00086,net_00094,net_00117,net_00120,net_00129,net_00151,net_00178,net_00180,net_00198,net_00199,net_00202,net_00206,net_00208,net_00242,net_00250,net_00258,net_00268,net_00269,net_00276,net_00278,net_00283,net_00299,net_00310,net_00312,net_00324,net_00325,net_00360,net_00364,net_00372,net_00380,net_00397,net_00400,net_00409,net_00411,net_00432,net_00433,net_00452,net_00456,net_00464,net_00468,net_00479,net_00510,net_00516,net_00534,net_00548,net_00551,net_00586,net_00605,net_00608,net_00612,net_00615,net_00619,net_00620,net_00653,net_00659,net_00665,net_00668,net_00675,net_00678,net_00702,net_00714,net_00733,net_00738,net_00748,net_00760,net_00764,net_00765,net_00772,net_00786,net_00798,net_00828,net_00830,net_00849,net_00857,net_00863,net_00887,net_00899,net_00902,net_00910,net_00911,net_00913,net_00914,net_00919,net_00937,net_00950,net_00965,net_00989,net_01047,net_01051,net_01056,net_01058,net_01068,net_01083,net_01084",104
8vYghuua9zcAvsBURXan8L2ZkGZHRaUWmbLNNCGKWUw3,"net_00022,net_00039,net_00043,net_00059,net_00062,net_00072,net_00077,net_00085,net_00106,net_00110,net_00112,net_00113,net_00126,net_00134,net_00152,net_00169,net_00173,net_00184,net_00190,net_00212,net_00232,net_00251,net_00262,net_00295,net_00298,net_00300,net_00302,net_00315,net_00316,net_00323,net_00340,net_00344,net_00351,net_00379,net_00381,net_00383,net_00389,net_00401,net_00408,net_00419,net_00461,net_00469,net_00505,net_00506,net_00508,net_00511,net_00512,net_00519,net_00527,net_00531,net_00538,net_00541,net_00544,net_00559,net_00583,net_00584,net_00601,net_00617,net_00618,net_00622,net_00632,net_00655,net_00657,net_00662,net_00672,net_00684,net_00707,net_00708,net_00713,net_00716,net_00741,net_00743,net_00753,net_00757,net_00769,net_00774,net_00777,net_00782,net_00804,net_00814,net_00817,net_00855,net_00865,net_00877,net_00881,net_00895,net_00906,net_00928,net_00952,net_00954,net_00962,net_00963,net_00968,net_01052,net_01079",95
HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,"net_00001,net_00006,net_00007,net_00010,net_00016,net_00018,net_00020,net_00044,net_00052,net_00063,net_00067,net_00093,net_00122,net_00138,net_00160,net_00203,net_00219,net_00221,net_00225,net_00234,net_00239,net_00247,net_00265,net_00304,net_00305,net_00307,net_00311,net_00355,net_00362,net_00382,net_00385,net_00388,net_00414,net_00442,net_00454,net_00463,net_00472,net_00482,net_00485,net_00500,net_00509,net_00516,net_00528,net_00536,net_00544,net_00564,net_00576,net_00630,net_00633,net_00647,net_00652,net_00663,net_00687,net_00712,net_00720,net_00768,net_00779,net_00781,net_00791,net_00803,net_00809,net_00813,net_00816,net_00829,net_00840,net_00844,net_00882,net_00884,net_00891,net_00898,net_00900,net_00921,net_00934,net_00936,net_00959,net_00966,net_00980,net_00984,net_01086,net_01088",80
3xVJVtHpyRJqpF8J5dospx8vr9M9sSedkoNNPubL4VMG,"net_00019,net_00040,net_00047,net_00048,net_00058,net_00065,net_00067,net_00094,net_00117,net_00122,net_00129,net_00151,net_00180,net_00198,net_00199,net_00206,net_00208,net_00219,net_00242,net_00269,net_00276,net_00278,net_00283,net_00299,net_00310,net_00312,net_00324,net_00325,net_00364,net_00372,net_00380,net_00382,net_00397,net_00414,net_00432,net_00433,net_00456,net_00464,net_00468,net_00479,net_00500,net_00510,net_00551,net_00586,net_00605,net_00612,net_00615,net_00619,net_00620,net_00633,net_00665,net_00668,net_00678,net_00714,net_00733,net_00738,net_00748,net_00760,net_00765,net_00772,net_00786,net_00849,net_00899,net_00902,net_00910,net_00911,net_00919,net_00937,net_00950,net_00965,net_00980,net_00984,net_01058,net_01068,net_01083",75
69aiAKU3uJMxMLRkUEGFNt6nQ43PiVimE4ZbErJ7VSM1,"net_00004,net_00009,net_00084,net_00088,net_00100,net_00175,net_00194,net_00237,net_00244,net_00259,net_00314,net_00416,net_00431,net_00516,net_00544,net_00789,net_00815,net_00888,net_00994,net_00995,net_00996,net_00997,net_00998,net_00999,net_01000,net_01001,net_01002,net_01003,net_01004,net_01005,net_01006,net_01007,net_01008,net_01009,net_01010,net_01011,net_01012,net_01013,net_01014,net_01015,net_01016,net_01017,net_01018,net_01019,net_01020,net_01021,net_01022,net_01023,net_01024,net_01025,net_01026,net_01027,net_01028,net_01029,net_01030,net_01031,net_01032,net_01033,net_01034,net_01035,net_01036,net_01037,net_01038,net_01039,net_01040,net_01041,net_01042,net_01043,net_01044,net_01045,net_01046",71
EFadfqMJRxpHF7KAU5qy5Bsukf1yyQKMg5iEJxAKaQic,"net_00002,net_00045,net_00046,net_00070,net_00081,net_00083,net_00090,net_00125,net_00131,net_00140,net_00146,net_00150,net_00170,net_00204,net_00205,net_00211,net_00215,net_00224,net_00230,net_00275,net_00284,net_00306,net_00339,net_00347,net_00348,net_00359,net_00378,net_00415,net_00417,net_00455,net_00483,net_00491,net_00492,net_00503,net_00516,net_00529,net_00539,net_00543,net_00545,net_00554,net_00561,net_00597,net_00604,net_00607,net_00627,net_00638,net_00640,net_00644,net_00661,net_00685,net_00690,net_00693,net_00735,net_00773,net_00775,net_00785,net_00794,net_00836,net_00843,net_00858,net_00867,net_00873,net_00892,net_00905,net_00912,net_00924,net_00942,net_00944,net_00947,net_00964,net_01061",71
2zYoYY4wdvagwgKBSgqwGXSxY18TUZgEg2ixdwfpsGMh,"net_00002,net_00045,net_00046,net_00070,net_00081,net_00083,net_00090,net_00125,net_00131,net_00140,net_00146,net_00150,net_00170,net_00194,net_00204,net_00205,net_00211,net_00215,net_00224,net_00230,net_00275,net_00284,net_00306,net_00339,net_00347,net_00348,net_00359,net_00378,net_00415,net_00417,net_00455,net_00483,net_00491,net_00492,net_00503,net_00529,net_00539,net_00543,net_00545,net_00554,net_00561,net_00597,net_00604,net_00607,net_00627,net_00638,net_00640,net_00644,net_00661,net_00685,net_00690,net_00693,net_00735,net_00773,net_00775,net_00785,net_00794,net_00836,net_00843,net_00858,net_00867,net_00873,net_00892,net_00905,net_00912,net_00924,net_00942,net_00944,net_00947,net_00964,net_01061",71
2GYNU7t9kLKRHHWtQVUZzzz6xvCTW9PPayvgspGbX1Mx,"net_00002,net_00045,net_00046,net_00070,net_00081,net_00083,net_00090,net_00125,net_00131,net_00140,net_00146,net_00150,net_00170,net_00204,net_00205,net_00211,net_00215,net_00224,net_00230,net_00275,net_00284,net_00306,net_00339,net_00347,net_00348,net_00359,net_00378,net_00415,net_00417,net_00455,net_00483,net_00491,net_00492,net_00503,net_00529,net_00539,net_00543,net_00545,net_00554,net_00561,net_00597,net_00604,net_00607,net_00627,net_00638,net_00640,net_00644,net_00661,net_00685,net_00690,net_00693,net_00735,net_00773,net_00775,net_00785,net_00794,net_00836,net_00843,net_00858,net_00867,net_00873,net_00892,net_00905,net_00912,net_00924,net_00942,net_00944,net_00947,net_00964,net_01061",70
