network_id,src,dst,edge_type,weight
net_00001,12VEffWAX87MW9JY2BfWrvHg3uZq9FG1rSKGwaNNkJSr,9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,sender_to_funder,7.46487991
net_00001,9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,VKdxpr9eWF1YdL3WrjG6MKKMCZRGJb2LvxEuqNfX2Z5,funder_to_creator,89.98365978
net_00001,9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,funder_to_creator,394.26763868
net_00001,9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,2BEdHEQY2fJNUXyndKZWgJni7uPsLThiFpB1MJ7MEHBs,funder_to_creator,5.78242407
net_00002,13SQroJW8hbDVqu9kMGyb3qbvDgMm2VZzdjiLMtHjFNt,CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,sender_to_funder,1.013442908
net_00002,CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,2GYNU7t9kLKRHHWtQVUZzzz6xvCTW9PPayvgspGbX1Mx,funder_to_creator,0.52
net_00002,CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,EFadfqMJRxpHF7KAU5qy5Bsukf1yyQKMg5iEJxAKaQic,funder_to_creator,24.9
net_00002,CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,2zYoYY4wdvagwgKBSgqwGXSxY18TUZgEg2ixdwfpsGMh,funder_to_creator,66.28301228000001
net_00003,13jny2xDnbA745QGXqQFkCoKMAzoTHDnkETKWfjDcpuv,22xdcRWD5uvpfjGe1W9oPhuK5rbiQ7K2B6niPhS12joi,sender_to_funder,0.00203928
net_00003,22xdcRWD5uvpfjGe1W9oPhuK5rbiQ7K2B6niPhS12joi,JDQKDrc1TQgBRvdFh56tkta5sYcDj1SoP52Eiu64rSrT,funder_to_creator,22.581689317
net_00003,22xdcRWD5uvpfjGe1W9oPhuK5rbiQ7K2B6niPhS12joi,2uqW2ydRQA3fgAJ1cQeohtAvyCxp2Qs6bnGnL9cwt9qy,funder_to_creator,0.2
net_00004,14nQAgu5NbWjH1hKUcxdujPnfnpBHmy4BxqaSg3TDi3A,9Hjn9cd5LyzDfTsW3Y4UzZnsUg2oUJZ8uVC25R2Y7crg,sender_to_funder,0.00203928
net_00004,14nQAgu5NbWjH1hKUcxdujPnfnpBHmy4BxqaSg3TDi3A,BHjzWcA46A3ksi3qVjJ72mvRYNCwZerSZFxfREUZicv2,sender_to_funder,0.00203928
net_00004,14nQAgu5NbWjH1hKUcxdujPnfnpBHmy4BxqaSg3TDi3A,DkmtNDuCYr8BkNxzbHM1Dv3wGzVcJqBByB8ck5zLQcSY,sender_to_funder,0.00203928
net_00004,9Hjn9cd5LyzDfTsW3Y4UzZnsUg2oUJZ8uVC25R2Y7crg,5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg,funder_to_creator,0.00407856
net_00004,BHjzWcA46A3ksi3qVjJ72mvRYNCwZerSZFxfREUZicv2,5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg,funder_to_creator,0.00407856
net_00004,DkmtNDuCYr8BkNxzbHM1Dv3wGzVcJqBByB8ck5zLQcSY,69aiAKU3uJMxMLRkUEGFNt6nQ43PiVimE4ZbErJ7VSM1,funder_to_creator,0.00407856
net_00005,1ustwKGbFXLKcWmpMrTZ9hF52Gx4ScrU7p7hHNpxJCD,3KLe8qfS6MuBXJnLdzoW9L9KG7dRj1hhpQtgnS9m6aud,sender_to_funder,0.001585146
net_00005,1ustwKGbFXLKcWmpMrTZ9hF52Gx4ScrU7p7hHNpxJCD,7ActWFFquFjwT4Jtvor8vDa5J3Qqv5CyMHJMP7F4ApNR,sender_to_funder,0.002165525
net_00005,1ustwKGbFXLKcWmpMrTZ9hF52Gx4ScrU7p7hHNpxJCD,2AJ1aaENL99PZdZLoGb5x5fPMmsVyViDjVuRu9UEkT5D,sender_to_funder,0.001520169
net_00005,1ustwKGbFXLKcWmpMrTZ9hF52Gx4ScrU7p7hHNpxJCD,CnW9ishTHZa4AQiAKns6kB7pgHG4PN9LvKB9BTLkK6U3,sender_to_funder,0.001521919
net_00005,1ustwKGbFXLKcWmpMrTZ9hF52Gx4ScrU7p7hHNpxJCD,8DNiQQfin8wadLUtN1oH1Gut2o8WGE9C1hxtAM1vbzmh,sender_to_funder,0.002282936
net_00005,1ustwKGbFXLKcWmpMrTZ9hF52Gx4ScrU7p7hHNpxJCD,9HCqUsAigFTZaZGERWH7zSxWZQznXj1yJgCfNJZmLMNo,sender_to_funder,0.002111324
net_00005,1ustwKGbFXLKcWmpMrTZ9hF52Gx4ScrU7p7hHNpxJCD,BbptCYiVuYkyGFJnPozK3RYbfMM4Bp27SGpshNozS4aq,sender_to_funder,0.001524223
net_00005,3KLe8qfS6MuBXJnLdzoW9L9KG7dRj1hhpQtgnS9m6aud,4UcETfQsjwmUypYvp92BCsZunaW2k9y4J38yCVvjAa2D,funder_to_creator,9.572911884
net_00005,7ActWFFquFjwT4Jtvor8vDa5J3Qqv5CyMHJMP7F4ApNR,5WMNaQNgUvaNWb6BzvxPukZB3q8UiduTwu3yzUo9cQX3,funder_to_creator,2.253712931
net_00005,2AJ1aaENL99PZdZLoGb5x5fPMmsVyViDjVuRu9UEkT5D,9dqU775VmXvFmhcHM2qGmfgaVPF4VhU4vE5LRWsaZhCj,funder_to_creator,0.523762026
net_00005,CnW9ishTHZa4AQiAKns6kB7pgHG4PN9LvKB9BTLkK6U3,Fh6dFXof133DWm6cbTb1oFM5rUJ6CYBHGf1FBcHRBJ2P,funder_to_creator,1.719009372
net_00005,8DNiQQfin8wadLUtN1oH1Gut2o8WGE9C1hxtAM1vbzmh,DuGezKLZp8UL2aQMHthoUibEC7WSbpNiKFJLTtK1QHjx,funder_to_creator,3.7220393389999997
net_00005,9HCqUsAigFTZaZGERWH7zSxWZQznXj1yJgCfNJZmLMNo,5h6nhX97VZceKqX7CYEvN97CLkDJaXKiJ3suvbZqpRcB,funder_to_creator,10.933619185
net_00005,BbptCYiVuYkyGFJnPozK3RYbfMM4Bp27SGpshNozS4aq,87XxAps1WzKuDVaAmTJSCbdhjhyBzn7pd1cwCsbADr73,funder_to_creator,2.425738353
net_00007,217zypipBzqeGUrWET5AT8cPWUrJ6nGU2tCjswGKVV3h,9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,sender_to_funder,1.286356896
net_00007,9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,VKdxpr9eWF1YdL3WrjG6MKKMCZRGJb2LvxEuqNfX2Z5,funder_to_creator,89.98365978
net_00007,9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,funder_to_creator,394.26763868
net_00007,9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,2BEdHEQY2fJNUXyndKZWgJni7uPsLThiFpB1MJ7MEHBs,funder_to_creator,5.78242407
net_00008,22xdcRWD5uvpfjGe1W9oPhuK5rbiQ7K2B6niPhS12joi,7wuDuSDwf7B3xCPuyYqVTvGYCuAWaySWuMAzyxDDrbUP,sender_to_funder,0.01
