network_id,root_address,creator_count,funder_count,root_type
net_00544,AxiomRXZAq1Jgjj9pHmNqVP7Lhu67wLXZJZbaK87TTSk,97,49,sender
net_00375,83uNmh2zweQWvBvxUTPhHgHRMawVeYBjZJhSfBfw1ua8,36,1,sender
net_00458,9M4DvTSVHmsbnqYpF8ayznYWzQrcEm1jF4KSVgpwCaEz,36,1,sender
net_00736,DrP5dGssE6XkcaLFMCjz5JsCoQCf23g4indXNPtCi8C7,36,1,sender
net_00167,4pwRepCi7RDPwaPQFEa2tf4bgRbyooAVW8RLCCVE51cb,36,1,sender
net_00143,4DCichV6UEKCDaWZbu1yiZYZPiJVDz2LXjHWBvCQ88EQ,36,1,sender
net_00518,ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,36,0,funder
net_00471,9ZwAWcuBXJ7vR6FEwuGE1kBvqyCNUQdzXGBP5myJV5Fq,36,1,sender
net_00574,BUfYGmEYEBs1pQZpDZvf4ksbv79CEpH7erZbAxurwmQW,36,1,sender
net_00127,3yhz3eNiuk3sjM9gcUmv2odm4mbFYu3qtRaTyuy6Tk8D,36,1,sender
net_00197,5HA8MFu6csZsEUhJgFraTc4LJihkuP3oC7kzRxokv69F,36,1,sender
net_00124,3vWvPMyTNvTAwv4CT55SRwkWeXUzXs8p2tndj1bULi6h,36,1,sender
net_00846,FqfAdbSHwj2h1sqMUJU5Mh6NgvDzW9RXUjmatE4dNqKj,36,1,sender
net_00670,CzvUWHxsp3TofbvxRWje1hLiGBZrZAQv91QPP47pR7Qw,36,1,sender
net_00451,9FEJKRpTbKpCS32YGBKbUmUjfPqNbm1PJz6FoKyMWaSt,36,1,sender
net_01085,omegoMAe1AMY5MFKQQr3JwXVy8F4eCvmBAfcpo8XAfq,35,41,sender
net_00516,ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn,35,59,sender
net_00067,2snHHreXbpJ7UwZxPe37gnUNf7Wx7wv6UKDSR2JckKuS,21,4,sender
net_00956,HceC6ZgeXnoGEd7hF3MGXtAFcPdC2HdGMYdK2GHm6Kw2,21,27,sender
net_00382,88NZwH5s33YxDEawCFNL88oo6gAriJKvwMJwfx1r7J4a,18,1,sender
net_00219,5bk2exUFYuvQmNfvpksHi7UF89Mzf43rxE4iFPDwUxK7,18,1,sender
net_00414,8gbs8AkzG2kBMVLLnesUbd5Sak1BwnT8EiNzauwDbcHm,18,1,sender
net_00984,JBHsu43sfqhkRcwi5qELdyAkUasZdR2y7iwsQ5uEGbRa,18,1,sender
net_00500,A95pt5WBUukBhmkurE8co3yBNe7sAwhLcJi3QCR3sJNr,18,1,sender
net_00633,CL6vQPpVjKGzHFHxruDfWyLDUVFBVerAHoGiJMGZ2hXd,18,1,sender
net_00122,3sNEDcgLQuJfiqHDdLZEtCa2pgkTz1dnsbzX6poAsM7x,18,1,sender
net_00980,J8angRxBGS3q3TBc6nh6AAULpP9Xv9qe95RChAj3VnSx,18,1,sender
net_00623,CDMFCoiXuikTLbfrwr3K17SMuAN1ziPodUMYjdgekLJa,15,1,sender
net_00819,FKj2w5vFHdpgA532rob8V1T2xKsLJAFYkw5u3gqh2v8n,15,1,sender
net_00049,2aSQBv8XYEFE3WvcnzQaSUL2sMYZQvUv7C4Xv5At5nUz,15,1,sender
net_00168,4q1v771XiBT51QqEGJb6GoCUWApSbPDcBXyqR7HHKqgU,15,1,sender
net_00807,F68UsnQg9tQVE931UdmQS372AcDNTdJBsu5xuBMTmBG6,15,1,sender
net_00718,DdWM5Ar4pZc8xV4oA2Z9RSgHUoNyubQkm6kzEKZVgdTj,15,1,sender
net_00074,31BLf7i9GZCWjvaYiUpubUppQin6DK4tYkHfTmjRQADL,15,1,sender
net_00577,BY4StcU9Y2BpgH8quZzorg31EGE4L1rjomN8FNsCBEcx,15,0,funder
net_00260,6BLz8s83uLEQLEq5rbY7MFEWfbrjEEZpACQfNBL5ok1k,15,1,sender
net_00446,99VzSxUsqs5StWx1CnsRqmqiw9EPCpw62Antfyr3bYcq,15,1,sender
net_00571,BSpP5ZHPbfcYsB7FTF8jEdhzbwwvmnFgvwfr2mFjDfh3,15,1,sender
