super_cluster_id,network_count,creator_count,root_addresses,risk_level
net_00647,23,152,"1ustwKGbFXLKcWmpMrTZ9hF52Gx4ScrU7p7hHNpxJCD,2snHHreXbpJ7UwZxPe37gnUNf7Wx7wv6UKDSR2JckKuS,3sNEDcgLQuJfiqHDdLZEtCa2pgkTz1dnsbzX6poAsM7x",CRITICAL
net_00124,14,36,"3vWvPMyTNvTAwv4CT55SRwkWeXUzXs8p2tndj1bULi6h,3yhz3eNiuk3sjM9gcUmv2odm4mbFYu3qtRaTyuy6Tk8D,4DCichV6UEKCDaWZbu1yiZYZPiJVDz2LXjHWBvCQ88EQ",HIGH
net_00037,42,17,"2MJ4bbZBtP4VCYg4mNAjbzMFKd1iKL518dwhPswc4xFW,2fiPirkoCER1225tb66K8NPcRkbXchy3sarQLTUh6wAA,2pzf4B9iyc6sxbCeMBxfca4tEycGGFCgHUegDd41mKc1",MEDIUM
net_00049,15,15,"2aSQBv8XYEFE3WvcnzQaSUL2sMYZQvUv7C4Xv5At5nUz,31BLf7i9GZCWjvaYiUpubUppQin6DK4tYkHfTmjRQADL,4e38oDZGys8VUNBiX4rhHCvW7tPFq6z868e9CvVD48Hy",MEDIUM
net_00031,22,12,"2Jxfw3X4aYQCsPMU4YETqSCjA1bMeeZmy7eKpKoe7YTS,2g98XuK3PGeiei5jxmghLREc4E2xAqw7TviuB9SZ69Sa,3KTfnzh8gMWFqo9NSf6oxX3utjjqFhZmLemtGVTVdK5S",MEDIUM
net_00028,38,11,"2HD1qioVUD841twEjWG9NUd8W2gxt4NuGwxHmF3bMxsx,2HcFC8Ny4nPC4jn4uBRsZTKkxQrKFh7QbgRb4QbKUbY6,2KeeVYw73LsXbpvYAtm2njDBYLc3rZK1vkutH41ZQ8Vi",MEDIUM
net_00502,1,10,AAAA8oj1FNQztCxt4oXut2UbD8PaEL5kSNjJUfJeYAAA,MEDIUM
net_00526,35,9,"2JqCBJ9Bjh8MN38zRbktuw7NTgEUrNuLRJ43Tsh2DzRu,2s9iEvv2VNPmGDUNz88rNfLMXLASYmdSW4JjbDjhqDHJ,2tEDfvRVD4XQe77yizGAuxoduF3AF7GKfuiPRb5PvRjD",MEDIUM
net_00592,1,8,BiPEuS6xJdRqsJzAgSKYqJ1jtWvL7ihJm3VjnSD6SPkJ,MEDIUM
net_00800,1,7,Ez2jYoXp45DZxr7JVhiqbDNirgBT37MErjZGxA8jZkTf,MEDIUM
net_00084,1,7,39azUYFWPz3VHgKCf3VChUwbpURdCHRxjWVowf5jUJjg,MEDIUM
net_00258,1,7,69SNcRC8NqjHBSXEcugCN5oFKRQoKmddmWzZYc3tqtxk,MEDIUM
net_00728,1,7,DkpMvCWwdNZL5UScy1eKjMkQCsyeFjhMLG2WTtmE9zQ2,MEDIUM
net_00021,44,7,"2CoXdWvWT6vDzkfgAG1v45Eb2R8Q3Yupnu8gvU9AU65k,3JQG1bJj1nK8x25iH1SMcrtDNnxJFitM32eiEnKgkKmz,3JQxj2f8JJmgexxmpL1MzHdJ8pE29S7NN5EZEGBnQSmz",MEDIUM
net_00882,1,7,GTAbrrpHy63U1ipynjb4jGppyo2Te6LLKBzH3jsN88Nk,MEDIUM
