mint,rug_indicator,risk_level,Risk Score %,Peak MC,Current MC,Peak Price,Current Price,events_parsed,created_at,analyzed_at,migration_tx,pool_address
EgnKsA4mDdmr8MuD4GJSDdQC7eUhaE6Ju2g6Cd2zpump,,MEDIUM,43.3,3458660.1,21262.0,0.00345866,2.126e-05,1421,2026-01-19 04:27:10,1768796830.212571,5nRDLDWXZipGw81B9Ztm36sWaMYmARNEDHBEwZAMHcaFgtddf1AFu1CaZPPkWxSEBDDv6UPEsTjBqyom89gsS48a,J3DwFuGu9woxsfMXkRqTRsRZv9VdLWg3tEYyAUCK9GVM
4KdRXLTk5A1PRxs9cPdzmQTUEL2fseBGJ1WMMwJXpump,,MEDIUM,58.4,2239079.16,394227.0,0.00223908,0.0003942,1206,2026-01-18 17:30:35,1768757435.6972768,3SSpG476JsW1kJwJsEELRZoupgVZ1D4mnWEb2e4skGViQJb9ee9rTByy3h2xVwR7dw8ifBMLwZqS6oZjErTPfGjW,5sY9Qd18NWy13F2W5nEV6FLDQjTddDU35997ScNMnp4V
36vyX9xVhj2M3kqzfupcbqPGYCkZoe1iZbjhMqkZpump,,MEDIUM,67.6,2127579.41,2906.0,0.00212758,2.91e-06,344,2026-01-18 00:32:38,1768696358.857047,Q77C7CzYp1CnxoX17SVsccCiCd1rprgbgSA136fDVz1gjrHJC2F3DpHXDX1gwJSBJvbz1MAdvBKMjXLc5LBjZks,EWqJSy2C1vWbGp4D9edtUbBJZ6yJW16hgYtw4BdfMXwM
DiSMYMGKywcHb1Pb1DZp9aZTFZKNN7wDCuGzoGrDpump,,MEDIUM,44.9,2064498.23,10831.0,0.0020645,1.086e-05,1458,2026-01-16 20:49:58,1768596598.706122,2v46qVrfNXoBrWRvvXSrkPXpXm4ZxEoyez8h366U9WusGgJEfyWm3UM4r29fwEvcxbe2y6JofhYc1tyTMuqRztGG,3rGMmM9FBA92FxUvPJ6TUF79XgBLRgdGJ1GiYz7u1b4t
rt4paHbomtUZvvB6nnyT6pzLJ5Wi1sAit7fgoYFpump,,HIGH,70.0,1408073.99,3133.0,0.00140807,3.13e-06,0,2026-01-19 03:10:41,1768792241.4929101,2rZ7mtMNzahU8PKEhp2TsatpeuDtRQKV5VxxrotS3PKdKq5ce4xdkcXzt65uGtga4Ubo1KXga9GFfXsTaLgZUSH6,GFjxfh11bwW9WFsLSHCc3tPfT7EgnaEKoQebrZig1uSH
AakmsJ4vebK1Uk3eWPRPx89WzEDq2knvN2sgGcXEpump,,MEDIUM,59.6,1091674.34,55440.0,0.00109167,5.544e-05,468,2026-01-19 02:17:29,1768789049.005541,5TretDz6UD9RSZ9vABw7x3YZ4kJNJqmqnWcyMhhPPUoVBip8y86cEu5TZBh4cs2PZFXpPG3PfFkTNVeQ43oXkhPS,ANAcV34C7C4R1UypxMbB67YenisVssMHec8Cd3yGMY2W
EAU3AfZyS8ygEa98dSBr93axjDme4oQuiUekd1u9pump,,MEDIUM,46.0,1081547.0,17852.0,0.001119,1.847e-05,1342,2026-01-19 00:45:03,1768783503.171415,4uCHJbnLRhE26RkbPihRvkStmYNc2E6g4nQ47AokiZkKNAZv741tkN7ZihMb3vXLAteMFKekJtWEqgKge7aMHgmx,v2yNhm4KkC87MdBkvvYiMVP7UdSyNYLrfXrFte8A5a7
Hvcmd51zk2vVkeAkYbNgSKsAX17hof2vLsihG9J2pump,,MEDIUM,47.0,1038756.59,263456.0,0.00103876,0.0002634,787,2026-01-18 00:14:59,1768695299.513824,iAfku9Y94TSuKqj7GNwDzqZsdXdq38UuqEWsjiqeForwZJ9kWNLjDC6cie8SmpEC5XDH9Tt3dHN66gDkruLobjZ,GWSwyUQciKLjtHceSm5CVkAfGDMhUGtV36dDRzFHWMQq
Hh2eVgLFYSdPGVaMsTGSLH1CU8ULVe4ouoemxhkVpump,,MEDIUM,59.6,750458.0,37452.0,0.0007504,3.745e-05,9,2026-01-16 17:28:51,1768584531.6455019,kWS6bzJTKgLqZg9Ubjc2wz9Bd9Z8Yei3THTjgwnTSfgzGQmMit7F49GgaGHJ2hQvQWMJUg31Cm6Qb2N6vTCRK5a,5NbmtWzSCZSM853SR6zzu3g7fsZnhAwJsQP4hnoXDGG6
DRpvzfT567yYALXEvB7Lxs7kpeNmEiUXPuAt8Y8upump,,MEDIUM,43.2,701173.25,3266.0,0.00070117,3.27e-06,1353,2026-01-18 02:53:53,1768704833.7505121,3UeXdzYFjQ17Ep3zKH4x87BZq673TybqYGPpVzy9FUnaKXpzYuVehN4HwupMtvJrgXXctoamnx7VSYSBf8cNXvgQ,Box8EsEPdCFdr3LKNGJ6qScz1Wb4raXfM4cHci7ZF5V3
3yxXrRQArWwWm6zvwfSDkDgSvrQQAHPfLbzzGTUXpump,,MEDIUM,42.4,664119.52,24163.0,0.00066412,2.416e-05,1310,2026-01-18 15:32:25,1768750345.780983,21Ac1HDo37UyW3VwVnvw4UPLKkHSrNY7vPFfuwoLRY7QeQJi5TD2QkKpCLf2wwVTM7TsZGBc8GaUcHNEyQsCyeZa,9DVSThb563bHgu3RDkvBYuYsLbGnPADwsJMLSCbkmUwp
EJcS6AwsdEjCs4nUS6t9m8s6FY8bKjJjJMumV36ppump,,LOW,38.6,604811.27,148455.0,0.00060481,0.0001493,1272,2026-01-19 00:08:01,1768781281.695998,3ocAFCEvXMKsFvcYUCxYi5UBMRyd8kMZR6YMQoSkJdMVhaw97oqhx4EtvUz7TdDaf5z9hENSRkSHYAGRF1hngjn6,A5sWiZAE7juoMCioTCQwbzCAL4PBd8AhSQpJiaJ6zkrq
