mint,created_at,creator_address,price_highest,market_cap_highest,rug_probability,risk_level,rug_indicator,super_cluster_id,cluster_network_count,cluster_creator_count,cluster_risk_level
HEYKwDJRoSsiLNQ9F9bZFKo7yxum1WbTFCgiHTX5h6tb,2026-02-16T17:05:43Z,6xvfppHXtf464GWLabpoQCQcV8aduorTvaDaajExevcQ,1.9052671078e-07,190.53,,,,NONE,0,0,NONE
GYniUGX4rDrqVjNoZyLafqvroU8VAP5PwHAncPgipump,2026-02-16T16:52:01Z,5Kz5DQFEmaXAp1yBMbHkhiaVMGgPq6nGZGTgjttN41zH,3.0129542705e-11,0.03,,,,NONE,0,0,NONE
3xHvvEomh6jFDQ1WEqS3NzPwr7a5F11VASQy3eu1pump,2026-02-16T16:39:32Z,571uzWpMeRuHEuWFC61FFsnXYV8DbE33QuBjCJhMqXh4,3.0589429639e-10,0.31,,,,NONE,0,0,NONE
GJpaM3MuA4n9wydQbPt4mZL26sDHpXEt7KX6Dkeupump,2026-02-16T16:38:41Z,BkCVq9WRAkYTPawzEZRacW1TuB5M2344BzduEZmKM5dh,1.0119193917e-08,10.12,,,,NONE,0,0,NONE
CRNjUJn2xQoEwJj2N16WJSMcZ5Eti8xHuoSpW6r6pump,2026-02-16T16:38:28Z,KdmQv6CP5TcWrgcHnmDWjGyUYeygc4uuKwdPiEAFjvh,1.8581992569e-10,0.19,,,,NONE,0,0,NONE
D4P55nDfh8LqSRTVeRAQbR3mSrTRqaYkancbVkGnpump,2026-02-16T16:38:23Z,GvhAwkqH1BUR7eD7EcaYNnYjBTCmYUnuNUDokEM8HRff,2.4223214824e-11,0.02,,,,NONE,0,0,NONE
8VQErzhWAQEt1AXW1fNnA5g21sMBf1byBJHyNuDvpump,2026-02-16T16:36:40Z,DHxcvwiyVig8mZq15qzt32HQN8oK17KfvzeBrxsoXus5,5.7600540707e-08,57.60,,,,NONE,0,0,NONE
JBgThRJrPNxER2yaYp6FNZM8pjDg4nTSDgVCrf68pump,2026-02-16T16:28:46Z,7cu9jh7ce54at8KQopdCdAVfNfVp8Y9XepXxy823XWKU,,,,,,NONE,0,0,NONE
HvcgiuDuy7JT4VyhM1FXAvPXpeSsqZ4SQVbg5Zq8pump,2026-02-16T16:28:26Z,HkAzojYPgmY8jw98AdtByg1gLdBXzbV9X59qtiwb5h87,2.7642592160e-11,0.03,,,,NONE,0,0,NONE
AwjrxReqLBVC6ozN5XLqkgrweveuL7T6pKQBz3Lpump,2026-02-16T16:27:17Z,3zKHSzzFDiuxUEtpX2XRzzuLXXGKFY2TRh7TiPtJ1Dp4,,,,,,NONE,0,0,NONE
