Rank,Sender Address,Funders Funded,Creators Funded,Total Tokens Launched,SOL Sent,Tokens Created,% of Total Tokens
1,RBHdGVfDfMjfU6iUfCb1LczMJcQLx7hGnxbzRsoDNvx,1,2,6,44358.54,6,0.3507%
2,E9H1cxZcnajU3SeK2AQVTBpUTv1tLoBQcaaiEhkhwMsH,1,1,8,12426.48,8,0.4676%
3,9MBEPB4QFfCSKwaR3azaFp4BTv43yqsT8MBoKtd3EXJw,1,1,3,9956.51,3,0.1753%
4,AxiomRXZAq1Jgjj9pHmNqVP7Lhu67wLXZJZbaK87TTSk,1,84,166,8137.47,166,9.7019%
5,7VRkaYrE5W92PBGEPKVcT2VNFyWDHc6G3oToHqYaD9f7,1,1,1,7953.71,1,0.0584%
6,8CpKY6vNKCixXqbwM14kAbN7eEa5X7YatVv9rVpSNpDB,1,1,8,7744.00,8,0.4676%
7,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,1,168,219,5826.19,219,12.7995%
8,D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf,1,23,32,5667.65,32,1.8703%
9,GjLes4MDpKLkv2nw7WPyoJC5iXnwCJUmDh2jTJ7ottu2,1,1,3,5239.36,3,0.1753%
10,AxJv49w5sKNmLW8rFAMDz5FYUbHo2PVZK3Hrkyq4ZHdz,1,1,23,4347.00,23,1.3442%
11,Dx3rBeWDgNkvV9F9BR7MY9xtxuCPt5h8JcVeC4k9EHje,1,1,13,3659.62,13,0.7598%
12,6X1HYZitT1gJKSqYHPagHsg4qtUNFi9EUErcpBfXqDFS,1,1,13,3542.00,13,0.7598%
13,9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,1,3,10,3249.91,10,0.5845%
14,DPqsobysNf5iA9w7zrQM8HLzCKZEDMkZsWbiidsAt1xo,1,22,32,3067.71,32,1.8703%
15,B5MBPFKt6XBSbpJJfrhKsz4J6qVw6AhtSkEfC257Ume5,1,1,8,2683.63,8,0.4676%
16,2snHHreXbpJ7UwZxPe37gnUNf7Wx7wv6UKDSR2JckKuS,1,20,37,2620.04,37,2.1625%
17,2Vu9ayKP5mvisKazkX7qmyB11C7ftw8xJG31HXGYCQwG,1,1,1,2555.13,1,0.0584%
18,DKt3tRS1kqAxGQDKh1crSB1wXQBhuSWj7atkzxmKoLAa,1,1,8,2378.25,8,0.4676%
19,3Rw35KiP9aV9t89HTWsUi6UddoMKeMbfLeKRB9FQZ1ym,1,1,4,2304.00,4,0.2338%
20,ARPHy8aAK1ZQTJr93SAZDDWbBx5sXJfjxaLxfvFud8Y3,1,1,2,1700.00,2,0.1169%
21,96PHuhkCpkVnH7jiJMTrbSJD9mkM4VUMpviTCRKPFzmC,1,1,13,1674.72,13,0.7598%
22,H7gTsQg5xixgBuL3wGxDYVgH8C3rs9rDv2yzBYVVw4tY,1,1,7,1540.00,7,0.4091%
